Quelle est la mission principale du LPEE définie dans la charte 2026 ?,Garantir la sécurité et la conformité des infrastructures par l'expertise scientifique.,strategie-marque
À quel horizon le LPEE souhaite-t-il devenir un référent incontournable du développement durable ?,À l'horizon 2040.,strategie-marque
Citez les quatre piliers stratégiques de la vision du LPEE.,"L'innovation, la digitalisation, l'excellence opérationnelle et le développement des talents.",strategie-marque
Quelle valeur consiste à agir avec rigueur et loyauté au service de l'intérêt public ?,L'éthique et l'intégrité.,strategie-marque
Que symbolise la forme triangulaire du logotype du LPEE ?,"La stabilité, la précision scientifique et les fondations solides.",logo-identite
"Dans le logo, que représentent les flèches ascendantes ?",La diversité des métiers et l'élan collectif vers l'innovation.,logo-identite
Quelle est la signification de la touche verte dans l'identité visuelle du LPEE ?,"La vie, l'équilibre et la responsabilité environnementale.",logo-identite
Quelles sont les deux polices de caractères utilisées spécifiquement pour le logotype ?,Aljazeera (pour l'arabe) et Roboto (pour le latin).,logo-identite
Quelle est la version d'orientation préférentielle du logotype ?,La version à développement vertical.,logo-identite
Dans quel cas la version monochrome du logo est-elle strictement réservée ?,Lorsque l'application de la version institutionnelle couleur est impossible.,logo-identite
Complétez la signature institutionnelle : « Le partenaire expert des projets _____ et _____ ».,sûrs ; durables.,logo-identite
Quelle est la taille de la marge fixe définie pour la zone de protection du logo ?,X = 1 cm tout autour du logo.,logo-identite
Quelle est la longueur minimale autorisée pour la mention « LPEE » lorsqu'elle est employée seule ?,20 mm.,logo-identite
Quel motif géométrique central assure l'unité visuelle sur l'ensemble des supports ?,Le triangle.,logo-identite
Que traduit la couleur noire dans la palette chromatique du LPEE ?,"La rigueur, la précision et la solidité scientifique.",palette-couleurs
Quelle valeur est évoquée par l'utilisation du bleu dans la marque ?,La fiabilité et la compétence technique.,palette-couleurs
À quoi renvoie la couleur orange dans l'univers visuel de l'institution ?,"L'énergie, l'innovation et la contribution au développement national.",palette-couleurs
Quelle est la police principale de communication recommandée par la charte ?,Montserrat.,typographie
Citez les deux polices secondaires utilisées pour les documents de type Word ou PowerPoint.,Helvetica et Arial.,typographie
Quelle typographie est retenue comme police secondaire pour les contenus en langue arabe ?,Damascus.,typographie
Combien de caractères un titre doit-il idéalement contenir pour garantir une présentation équilibrée ?,Environ 50 caractères.,typographie
Quel groupe de personnes doit être placé au cœur du style iconographique du LPEE ?,"L'humain (ingénieurs, techniciens, chercheurs et experts).",univers-visuel
Comment les interventions de terrain doivent-elles être représentées dans les visuels ?,"De manière authentique, professionnelle et non scénarisée.",univers-visuel
Pourquoi l'usage de photos trop retouchées ou avec des filtres marqués est-il proscrit ?,Parce qu'elles ne reflètent pas les conditions réelles de travail.,univers-visuel
Quels éléments matériels peuvent être utilisés comme textures graphiques ?,"Les matériaux, les prélèvements de sols ou les structures techniques.",univers-visuel
Quelle est la règle de couleur pour un pictogramme utilisé seul sur fond blanc ?,Il doit être en bleu LPEE.,univers-visuel
Définissez la valeur « Professionnalisme et excellence » selon le document.,Garantir la fiabilité des mesures et l'amélioration continue des pratiques.,strategie-marque
Est-il permis d'ajouter une ombre portée au logotype du LPEE ?,"Non, l'ajout d'effets visuels est strictement interdit.",logo-identite
